"","id","font","cond","acc"
"371","5f834ed4ec89344b7df15bbd","flu","self-paced",0.916666666666667
"372","5f834ed4ec89344b7df15bbd","SF","self-paced",0.833333333333333
"373","5f83be35fedb0355c6dec549","flu","self-paced",0.333333333333333
"374","5f83be35fedb0355c6dec549","SF","self-paced",0.25
"375","5f89b218ad8da60967bb34b1","flu","self-paced",0.0833333333333333
"376","5f89b218ad8da60967bb34b1","SF","self-paced",0.583333333333333
"377","5f8bd0a44685a00008f45486","flu","timed",0.333333333333333
"378","5f8bd0a44685a00008f45486","SF","timed",0.416666666666667
"379","5f9034a241bf1e08f4486356","flu","self-paced",0.166666666666667
"380","5f9034a241bf1e08f4486356","SF","self-paced",0.166666666666667
"381","5f91e73c22a18d0d03dc4d49","flu","timed",0.5
"382","5f91e73c22a18d0d03dc4d49","SF","timed",0
"383","5f9389359e419016498ca01a","flu","timed",0.833333333333333
"384","5f9389359e419016498ca01a","SF","timed",0.666666666666667
"385","5f96208d76c05e4f3a4d78a6","flu","timed",0.0833333333333333
"386","5f96208d76c05e4f3a4d78a6","SF","timed",0.583333333333333
"387","5f9b13feb3e73b17096bc8f6","flu","self-paced",0.583333333333333
"388","5f9b13feb3e73b17096bc8f6","SF","self-paced",0.166666666666667
"389","5f9b83e8a6c3433ac783f4d4","flu","timed",0.333333333333333
"390","5f9b83e8a6c3433ac783f4d4","SF","timed",0.333333333333333
"391","5f9c4ed65eb24e0c5a37473d","flu","self-paced",0.25
"392","5f9c4ed65eb24e0c5a37473d","SF","self-paced",0.583333333333333
"393","5fac996c2cd1ad2b50292dcf","flu","timed",0.166666666666667
"394","5fac996c2cd1ad2b50292dcf","SF","timed",0.5
"395","5fae366541b4ac2840588d43","flu","self-paced",0.166666666666667
"396","5fae366541b4ac2840588d43","SF","self-paced",0.166666666666667
"397","5fb3ed13721e65000b9c1e30","flu","self-paced",0.25
"398","5fb3ed13721e65000b9c1e30","SF","self-paced",0.333333333333333
"399","5fb44b63888ecf10b8dee53d","flu","self-paced",0
"400","5fb44b63888ecf10b8dee53d","SF","self-paced",0.416666666666667
"401","5fb5dfa5df577200090d9dc4","flu","self-paced",0.166666666666667
"402","5fb5dfa5df577200090d9dc4","SF","self-paced",0.416666666666667
"403","5fbaaab1be0cdb87749f4f04","flu","timed",0.0833333333333333
"404","5fbaaab1be0cdb87749f4f04","SF","timed",0.166666666666667
"405","5fbbfbad60761c051906a9df","flu","self-paced",0.416666666666667
"406","5fbbfbad60761c051906a9df","SF","self-paced",0.416666666666667
"407","5fbd6a6bded4440009064c7e","flu","timed",0.583333333333333
"408","5fbd6a6bded4440009064c7e","SF","timed",0.5
"409","5fc05cd9a7f9354ece3923f6","flu","timed",0.333333333333333
"410","5fc05cd9a7f9354ece3923f6","SF","timed",0.166666666666667
"411","5fc26dcdfffc130cf3e3d951","flu","self-paced",0.25
"412","5fc26dcdfffc130cf3e3d951","SF","self-paced",0.75
"413","5fc389e2c42314669487410a","flu","self-paced",0.5
"414","5fc389e2c42314669487410a","SF","self-paced",0.583333333333333
"415","5fc39fb1dfcbb7597a596070","flu","self-paced",0.25
